semel,year,school,city,city_norm,match_stage,cluster,index_value,population,locality_form,ses_locality_name,log_population,district,sector,supervision,legal_status,education_stage,nurture_quintile,avg_class_size,total_budget_per_student,teaching_budget_per_student,tuition_per_student,perimeter_per_student,projects_per_student,purchases_per_student,transport_per_student,private_hours_per_student,special_ed_share,log_school_size,math_avg_grade,english_avg_grade,math_5unit_participation,english_5unit_participation,math_takers_total,english_takers_total,students_regular,students_special,budget_total,cost_teaching,cost_tuition,cost_perimeter,cost_projects,cost_purchases,cost_transport,hours_private
460592,2015,פרומיס סקול על יסודי,ירושלים,ירושלים,exact,2.0,-0.919,863795.0,,ירושלים,13.669091908796466,ירושלים,ערבי,ממלכתי,מוכר,עליונה בלבד,3.0,23.75,6957.133125978211,0.0,6491.780315789474,12.288736842105264,239.30842105263156,219.70470492557922,-5.949052631578947,0.0,0.0,4.564348191467836,90.5,80.27,0.0,0.5238095238095238,20.0,21.0,95.0,0.0,660927.64696793,0.0,616719.13,1167.43,22734.3,20871.946967930027,-565.16,0.0
460592,2016,פרומיס סקול על יסודי,ירושלים,ירושלים,exact,2.0,-0.919,863795.0,,ירושלים,13.669091908796466,ירושלים,ערבי,ממלכתי,מוכר,עליונה בלבד,3.0,23.75,6957.133125978211,0.0,6491.780315789474,12.288736842105264,239.30842105263156,219.70470492557922,-5.949052631578947,0.0,0.0,4.564348191467836,75.82000000000001,71.12,0.0,0.13513513513513514,28.0,37.0,95.0,0.0,660927.64696793,0.0,616719.13,1167.43,22734.3,20871.946967930027,-565.16,0.0
460626,2016,הפטריארכט הלטינית,יפיע,יפיע,exact,3.0,-0.823,18234.0,,יפיע,9.81109810324278,צפון,ערבי,ממלכתי,מוכר,עליונה בלבד,5.0,22.33333333333333,22905.197307462677,0.0,22643.886716417906,3.7476119402985075,111.96119402985074,151.88835223880596,-6.286567164179104,0.0,0.0,4.219507705176107,79.18,,0.0,0.625,19.0,16.0,67.0,0.0,1534648.2195999993,0.0,1517140.4099999997,251.09,7501.4,10176.5196,-421.2,0.0
460667,2014,אולפנת אהבת ישראל,בית שמש,בית שמש,exact,2.0,-1.214,103630.0,,בית שמש,11.548591791847038,ירושלים,יהודי,ממלכתי דתי,רשמי,"חט""ב ועליונה",3.0,25.875,23146.75241813292,12386.52050483092,6204.575169082126,1679.924154589372,180.35555555555558,222.9212852826799,-8.411207729468599,0.2199436392914654,0.04608294930875576,5.384495062789089,,93.53,0.0,1.0,13.0,15.0,207.0,10.0,4791377.750553515,2564009.7445000005,1284347.06,347744.3,37333.600000000006,46144.70605351474,-1741.12,45.528333333333336
460667,2015,אולפנת אהבת ישראל,בית שמש,בית שמש,exact,2.0,-1.214,103630.0,,בית שמש,11.548591791847038,ירושלים,יהודי,ממלכתי דתי,רשמי,"חט""ב ועליונה",3.0,25.875,23146.75241813292,12386.52050483092,6204.575169082126,1679.924154589372,180.35555555555558,222.9212852826799,-8.411207729468599,0.2199436392914654,0.04608294930875576,5.384495062789089,,93.79,0.0,1.0,10.0,14.0,207.0,10.0,4791377.750553515,2564009.7445000005,1284347.06,347744.3,37333.600000000006,46144.70605351474,-1741.12,45.528333333333336
460667,2016,אולפנת אהבת ישראל,בית שמש,בית שמש,exact,2.0,-1.214,103630.0,,בית שמש,11.548591791847038,ירושלים,יהודי,ממלכתי דתי,רשמי,"חט""ב ועליונה",3.0,25.875,23146.75241813292,12386.52050483092,6204.575169082126,1679.924154589372,180.35555555555558,222.9212852826799,-8.411207729468599,0.2199436392914654,0.04608294930875576,5.384495062789089,,88.86,0.0,1.0,12.0,14.0,207.0,10.0,4791377.750553515,2564009.7445000005,1284347.06,347744.3,37333.600000000006,46144.70605351474,-1741.12,45.528333333333336
460691,2014,ישיבה תיכונית,מעלות-תרשיחא,מעלות-תרשיחא,exact,5.0,0.022,21180.0,,מעלות-תרשיחא,9.960859832393998,צפון,יהודי,ממלכתי דתי,רשמי,"חט""ב ועליונה",3.0,20.444444444444443,27081.509166043474,17332.558043478264,7242.363532608695,1769.281902173913,270.83663043478265,454.3854703913043,-6.995217391304347,0.2783152173913043,0.03664921465968586,5.2574953720277815,,,0.0,0.0,6.0,7.0,184.0,7.0,4982997.686551999,3189190.6800000006,1332594.89,325547.87,49833.94,83606.92655199999,-1287.12,51.21
460691,2015,ישיבה תיכונית,מעלות-תרשיחא,מעלות-תרשיחא,exact,5.0,0.022,21180.0,,מעלות-תרשיחא,9.960859832393998,צפון,יהודי,ממלכתי דתי,רשמי,"חט""ב ועליונה",3.0,20.444444444444443,27081.509166043474,17332.558043478264,7242.363532608695,1769.281902173913,270.83663043478265,454.3854703913043,-6.995217391304347,0.2783152173913043,0.03664921465968586,5.2574953720277815,,,,1.0,,5.0,184.0,7.0,4982997.686551999,3189190.6800000006,1332594.89,325547.87,49833.94,83606.92655199999,-1287.12,51.21
460691,2016,ישיבה תיכונית,מעלות-תרשיחא,מעלות-תרשיחא,exact,5.0,0.022,21180.0,,מעלות-תרשיחא,9.960859832393998,צפון,יהודי,ממלכתי דתי,רשמי,"חט""ב ועליונה",3.0,20.444444444444443,27081.509166043474,17332.558043478264,7242.363532608695,1769.281902173913,270.83663043478265,454.3854703913043,-6.995217391304347,0.2783152173913043,0.03664921465968586,5.2574953720277815,,88.55,0.25,0.6875,20.0,16.0,184.0,7.0,4982997.686551999,3189190.6800000006,1332594.89,325547.87,49833.94,83606.92655199999,-1287.12,51.21
460725,2015,"בית אקשטיין-כפר מל""ל","כפר מל""ל",כפר מל ל,exact,9.0,1.666,328.0,310.0,"כפר מל""ל",5.796057750765372,מרכז,יהודי,ממלכתי,מוכר,יסודי ועליונה,,,,,,,,,,,1.0,4.969813299576001,,,0.0,0.0,7.0,5.0,0.0,143.0,3695012.1052,0.0,0.0,585753.26,3108841.5500000007,417.2952,0.0,0.0
