locality_code,locality_name,locality_form,population,index_value,cluster,locality_norm
890.0,כפר הנוער הדתי,340,258.0,-2.403,1.0,כפר הנוער הדתי
990.0,ראס עלי,450,560.0,-1.921,1.0,ראס עלי
1321.0,ח'ואלד,450,458.0,-1.378,2.0,ח ואלד
652.0,אבטין,290,2689.0,-1.359,2.0,אבטין
882.0,אורנים,340,177.0,-0.632,3.0,אורנים
178.0,רמת יוחנן,330,929.0,-0.362,4.0,רמת יוחנן
96.0,יגור,330,1508.0,-0.358,4.0,יגור
237.0,שער העמקים,330,644.0,0.334,6.0,שער העמקים
889.0,כפר חסידים ב',350,256.0,0.53,7.0,כפר חסידים ב
254.0,כפר המכבי,330,371.0,0.721,7.0,כפר המכבי
112.0,כפר חסידים א',310,562.0,0.785,7.0,כפר חסידים א
278.0,אושה,330,462.0,0.873,7.0,אושה
220.0,כפר ביאליק,310,565.0,1.327,8.0,כפר ביאליק
1284.0,נופית,190,2726.0,2.132,9.0,נופית
1197.0,נאות סמדר,330,210.0,-0.93,2.0,נאות סמדר
1156.0,סמר,330,274.0,-0.801,3.0,סמר
1248.0,אליפז,330,129.0,-0.732,3.0,אליפז
866.0,יטבתה,330,657.0,-0.58,3.0,יטבתה
1255.0,לוטן,330,181.0,-0.304,4.0,לוטן
1052.0,קטורה,330,485.0,-0.256,4.0,קטורה
1279.0,נווה חריף,330,110.0,-0.078,5.0,נווה חריף
1126.0,אילות,330,322.0,0.412,6.0,אילות
1266.0,שחרות,370,130.0,0.48,6.0,שחרות
1129.0,גרופית,330,262.0,0.583,7.0,גרופית
21.0,באר אורה,370,617.0,0.84,7.0,באר אורה
1158.0,יהל,330,182.0,0.998,8.0,יהל
848.0,בית רבן,340,1057.0,-1.071,2.0,בית רבן
334.0,קבוצת יבנה,330,935.0,-1.01,2.0,קבוצת יבנה
1094.0,כרם יבנה (ישיבה),340,541.0,-0.813,3.0,כרם יבנה
720.0,ניר גלים,320,1395.0,0.136,5.0,ניר גלים
760.0,בן זכאי,310,1083.0,0.137,5.0,בן זכאי
592.0,בני דרום,320,671.0,0.507,7.0,בני דרום
571.0,בית גמליאל,310,953.0,0.985,8.0,בית גמליאל
88.0,כרם בן שמן,350,,,,כרם בן שמן
1084.0,בן שמן (כפר נוער),340,625.0,-1.621,1.0,בן שמן
2038.0,ברקת,310,1867.0,-0.587,3.0,ברקת
450.0,בארות יצחק,330,415.0,-0.499,3.0,בארות יצחק
1141.0,מבוא מודיעים,370,265.0,-0.372,4.0,מבוא מודיעים
804.0,אחיסמך,310,1349.0,0.103,5.0,אחיסמך
449.0,נחלים,310,1690.0,0.188,6.0,נחלים
604.0,בית עריף,310,1112.0,0.384,6.0,בית עריף
618.0,חדיד,310,866.0,0.506,7.0,חדיד
257.0,נופך,370,544.0,0.552,7.0,נופך
663.0,טירת יהודה,310,1183.0,0.553,7.0,טירת יהודה
745.0,גמזו,310,1165.0,0.666,7.0,גמזו
802.0,"גבעת כ""ח",310,859.0,0.684,7.0,גבעת כ ח
784.0,בית נחמיה,310,887.0,1.288,8.0,בית נחמיה
616.0,רינתיה,310,1134.0,1.307,8.0,רינתיה
863.0,גינתון,310,884.0,1.341,8.0,גינתון
1310.0,לפיד,190,2551.0,1.583,8.0,לפיד
1165.0,שילת,310,679.0,1.618,8.0,שילת
673.0,כפר טרומן,310,882.0,1.669,9.0,כפר טרומן
448.0,בני עטרות,310,995.0,1.719,9.0,בני עטרות
2013.0,בן שמן (מושב),310,855.0,1.742,9.0,בן שמן
606.0,מזור,310,1300.0,1.753,9.0,מזור
1166.0,כפר רות,310,208.0,1.809,9.0,כפר רות
707.0,כפר דניאל,320,726.0,1.844,9.0,כפר דניאל
107.0,כפר סילבר,340,227.0,-1.108,2.0,כפר סילבר
820.0,חלץ,310,449.0,-0.288,4.0,חלץ
746.0,ברכיה,310,1199.0,-0.228,4.0,ברכיה
351.0,ניצן,350,1853.0,-0.026,5.0,ניצן
1419.0,ניצן ב',350,1349.0,0.095,5.0,ניצן ב
747.0,בית שקמה,310,827.0,0.144,5.0,בית שקמה
726.0,הודייה,310,488.0,0.246,6.0,הודייה
791.0,משען,310,1005.0,0.327,6.0,משען
1376.0,באר גנים,370,368.0,0.363,6.0,באר גנים
359.0,ניצנים,330,341.0,0.685,7.0,ניצנים
573.0,מבקיעים,310,395.0,0.74,7.0,מבקיעים
342.0,גברעם,330,372.0,0.793,7.0,גברעם
768.0,כרמייה,330,590.0,0.909,7.0,כרמייה
1323.0,בת הדר,350,704.0,0.936,7.0,בת הדר
358.0,יד מרדכי,330,656.0,0.949,7.0,יד מרדכי
584.0,זיקים,330,625.0,1.041,8.0,זיקים
744.0,תלמי יפה,320,805.0,1.08,8.0,תלמי יפה
824.0,כוכב מיכאל,310,992.0,1.304,8.0,כוכב מיכאל
1242.0,נתיב העשרה,310,805.0,1.477,8.0,נתיב העשרה
706.0,גיאה,310,929.0,1.489,8.0,גיאה
699.0,ניר ישראל,310,853.0,1.531,8.0,ניר ישראל
212.0,בית צבי,340,201.0,-2.903,1.0,בית צבי
102.0,מאיר שפיה,340,317.0,-1.637,1.0,מאיר שפיה
1320.0,עין חוד,450,273.0,-0.917,2.0,עין חוד
427.0,כפר גלים,340,294.0,-0.897,2.0,כפר גלים
694.0,מעגן מיכאל,330,1878.0,-0.853,3.0,מעגן מיכאל
769.0,ניר עציון,320,899.0,-0.697,3.0,ניר עציון
327.0,שדות ים,330,931.0,-0.025,5.0,שדות ים
612.0,צרופה,310,1093.0,0.815,7.0,צרופה
312.0,נווה ים,330,252.0,0.829,7.0,נווה ים
810.0,עופר,310,639.0,0.855,7.0,עופר
317.0,בית אורן,330,452.0,0.975,8.0,בית אורן
53.0,עתלית,180,6814.0,0.983,8.0,עתלית
433.0,נחשולים,330,642.0,1.081,8.0,נחשולים
74.0,עין הוד,370,590.0,1.113,8.0,עין הוד
290.0,מעיין צבי,330,671.0,1.137,8.0,מעיין צבי
33.0,בת שלמה,310,608.0,1.207,8.0,בת שלמה
426.0,עין כרמל,330,894.0,1.257,8.0,עין כרמל
434.0,החותרים,330,720.0,1.294,8.0,החותרים
689.0,מגדים,310,1277.0,1.315,8.0,מגדים
683.0,גבע כרמל,310,1166.0,1.4,8.0,גבע כרמל
738.0,דור,310,398.0,1.433,8.0,דור
800.0,בית חנניה,310,901.0,1.608,8.0,בית חנניה
687.0,עין איילה,310,1127.0,1.687,9.0,עין איילה
580.0,"כרם מהר""ל",310,706.0,1.765,9.0,כרם מהר ל
675.0,הבונים,320,345.0,1.792,9.0,הבונים
1167.0,קיסריה,190,4853.0,2.09,9.0,קיסריה
412.0,קריית שלמה,340,,,,קריית שלמה
287.0,תל יצחק,330,950.0,-0.208,4.0,תל יצחק
842.0,געש,330,682.0,0.329,6.0,געש
232.0,שפיים,330,1208.0,0.781,7.0,שפיים
1024.0,חרוצים,350,876.0,1.026,8.0,חרוצים
417.0,יקום,330,703.0,1.026,8.0,יקום
346.0,גליל ים,330,453.0,1.137,8.0,גליל ים
446.0,אודים,310,1306.0,1.627,9.0,אודים
288.0,בית יהושע,310,1062.0,1.683,9.0,בית יהושע
247.0,רשפון,310,1402.0,1.813,9.0,רשפון
316.0,כפר נטר,310,1157.0,1.941,9.0,כפר נטר
418.0,בני ציון,310,1392.0,2.002,9.0,בני ציון
389.0,בצרה,310,1118.0,2.064,9.0,בצרה
1324.0,ארסוף,350,154.0,2.645,10.0,ארסוף
1339.0,אל -עזי,450,184.0,-1.393,2.0,אל -עזי
2045.0,נחלה,310,588.0,0.423,6.0,נחלה
16.0,בית ניר,330,580.0,0.733,7.0,בית ניר
1133.0,ורדון,350,264.0,0.788,7.0,ורדון
340.0,גת (קיבוץ),330,685.0,0.841,7.0,גת
